questionNumber,team,payType,answer,question,points,include,multipleAnswers,correctAnswer,correct,score
Q14,Bri-Anne,Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,No Ygrittes,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,A Girl Has No Team Name,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Sword Swallowers through and through,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,A Wizard of Cersei,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Flea Bottom Feeders,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Safari Ary,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Sand Snake Realness,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Little Fingers’ Little Finger,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Stark Raving Mad,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Lady Elizabeth of House Wray,Free,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Dany Snow,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,All Bronn and no brains,Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,Xander's Dragons,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,House Magnus,Free,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses",Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,Stop Dragon My Horse Heart Around,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,A Team Has No Name,Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,That’s what I do: I drink and I know things.,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Davis the Bastard of Voltron,Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Bri-Enne Of Green Gables,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Lil' Jon Snow White,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,"Ser Dunton, Knight of the Laughing Tree",Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,The House of Lesbian Poets,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,The Ed Sheeran Fan Club,Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,Aaron on the Throne,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,"Breaker of Fasts, Mother of Brunches",Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Enjol-Raki,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Just Here for CleganeBowl,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Lady Stoneheart,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Arya Dead Yet?,Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,"S'now way, Jose!",Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Tormund's Member Rewards Club,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Bronn Swanson,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Matton Of The Hounds,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Sept of Baylor was an Inside job,Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,Ser Hand Rale of House Bannister,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Lady Kristi of the House of Brooks,Paying,Lives,The Hound,1.0,true,false,Lives,true,1.0
Q14,Mountain Mellon Crushers,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Bronn: The Decision,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q14,Lord Ben-ish,Paying,Dies,The Hound,1.0,true,false,Lives,false,0.0
Q16,Bri-Anne,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,No Ygrittes,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,A Girl Has No Team Name,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Sword Swallowers through and through,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,A Wizard of Cersei,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Flea Bottom Feeders,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Safari Ary,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Sand Snake Realness,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Little Fingers’ Little Finger,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Stark Raving Mad,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Lady Elizabeth of House Wray,Free,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Dany Snow,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,All Bronn and no brains,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Xander's Dragons,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,House Magnus,Free,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses",Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Stop Dragon My Horse Heart Around,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,A Team Has No Name,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,That’s what I do: I drink and I know things.,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Davis the Bastard of Voltron,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Bri-Enne Of Green Gables,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Lil' Jon Snow White,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,"Ser Dunton, Knight of the Laughing Tree",Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,The House of Lesbian Poets,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,The Ed Sheeran Fan Club,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Aaron on the Throne,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,"Breaker of Fasts, Mother of Brunches",Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Enjol-Raki,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Just Here for CleganeBowl,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Lady Stoneheart,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Arya Dead Yet?,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,"S'now way, Jose!",Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Tormund's Member Rewards Club,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Bronn Swanson,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Matton Of The Hounds,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Sept of Baylor was an Inside job,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Ser Hand Rale of House Bannister,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Lady Kristi of the House of Brooks,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Mountain Mellon Crushers,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q16,Bronn: The Decision,Paying,Lives,Grey Worm,1.0,true,false,Lives,true,1.0
Q16,Lord Ben-ish,Paying,Dies,Grey Worm,1.0,true,false,Lives,false,0.0
Q33,Bri-Anne,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,No Ygrittes,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,A Girl Has No Team Name,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Sword Swallowers through and through,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,A Wizard of Cersei,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Flea Bottom Feeders,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,Safari Ary,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,Sand Snake Realness,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,Little Fingers’ Little Finger,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Stark Raving Mad,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,Lady Elizabeth of House Wray,Free,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Dany Snow,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,All Bronn and no brains,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Xander's Dragons,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,House Magnus,Free,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses",Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Stop Dragon My Horse Heart Around,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,A Team Has No Name,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,That’s what I do: I drink and I know things.,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Davis the Bastard of Voltron,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Bri-Enne Of Green Gables,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Lil' Jon Snow White,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,"Ser Dunton, Knight of the Laughing Tree",Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,The House of Lesbian Poets,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,The Ed Sheeran Fan Club,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Aaron on the Throne,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,"Breaker of Fasts, Mother of Brunches",Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Enjol-Raki,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,Just Here for CleganeBowl,Paying,No,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,true,1.0
Q33,Lady Stoneheart,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
Q33,Arya Dead Yet?,Paying,Yes,Does Arya personally kill the following characters on her list  [Ilyn Payne],1.0,true,false,No,false,0.0
